table_name|sql|has_date_entered|key_column
CM_PRESENTMENTREQUEST_HIST|COPY_CM_PRESENTMENTREQUEST.sql|True|NULL
CM_OPENENDLOANSTATEMENT_HIST|COPY_CM_OPENENDLOANSTATEMENT.sql|True|NULL
CM_INSURANCEENROLLMENT_HIST|COPY_CM_INSURANCEENROLLMENT.sql|True|NULL
CM_LOANFUNDING_HIST|COPY_CM_LOANFUNDING.sql|True|NULL
CM_TRANSDETAIL_HIST|NULL|True|NULL
CM_ACH_HISTORY_HIST|NULL|True|NULL
CM_BALSHEET2_HIST|NULL|True|NULL
CM_COMPANY_HIST|NULL|True|NULL
CM_CREDITCARDATTEMPTS_HIST|NULL|True|NULL
CM_CREDITCARDRESULTCODE_HIST|NULL|True|NULL
CM_CREDITCARDTRANS_HIST|NULL|True|NULL
CM_CUSTOMER_HIST|NULL|True|NULL
CM_CUSTOMERADDRESS_HIST|NULL|True|NULL
CM_CUSTOMERINCOME_HIST|NULL|True|NULL
CM_ENDOFDAYRPT_HIST|NULL|True|NULL
CM_LOANAPPLICATION_HIST|NULL|True|NULL
CM_LOANPAYMENT_HIST|NULL|True|NULL
CM_LOANPRODUCT_HIST|NULL|True|NULL
CM_LOANPRODUCTCONFIG_HIST|NULL|True|NULL
CM_MPAYINTEREST_HIST|NULL|True|NULL
CM_OPENENDINTEREST_HIST|NULL|True|NULL
CM_PRESENTMENT_HIST|NULL|True|NULL
CM_PROMISETOPAY_HIST|NULL|True|NULL
CM_RBCEFUNDBATCH_HIST|NULL|True|NULL
CM_SPAYINTEREST_HIST|NULL|True|NULL
CM_LOAN_HIST|NULL|False|NULL
CM_CAPSRUN_HIST|NULL|False|NULL
CM_CREDITCARDVENDOR_HIST|NULL|False|NULL
CM_CURRENCY_HIST|NULL|False|NULL
CM_DISTRICT_HIST|NULL|False|NULL
CM_ACH_SENT_HIST|NULL|False|NULL
CM_LOANFUNDINGSTATUS_HIST|NULL|False|NULL
CM_LOANPRODUCTFINANCIALGROUP_HIST|NULL|False|NULL
CM_MARKETS_HIST|NULL|False|NULL
CM_PRESENTMENTCREDITCARDTRANSXREF_HIST|NULL|False|NULL
CM_PRESENTMENTTYPE_HIST|NULL|False|NULL
CM_PROMISETOPAYDETAIL_HIST|NULL|False|NULL
CM_REGION_HIST|NULL|False|NULL
CM_OPENENDLOANSTATEMENTBALANCE_HIST|NULL|False|NULL
CM_BALSHEET_TRANSDETAIL_HIST|NULL|False|TRANS_DETAIL_KEY
CM_ENDOFDAYINVENTORYDETAIL_HIST|NULL|False|EODR_KEY
CM_LOANINCOME_HIST|NULL|False|LOAN_INCOME_KEY
CM_LOANPAYMENTMPAY_HIST|NULL|False|loan_payment_mpay_key
CM_LOANPAYMENTOPENEND_HIST|NULL|False|LOAN_PAYMENT_OPEN_END_KEY
CM_LOANPAYMENTSPAY_HIST|NULL|False|LOAN_PAYMENT_SPAY_KEY
CM_MPAYAMORT_HIST|NULL|False|MPAY_AMORT_KEY
CM_MPAYLOAN_HIST|NULL|False|MPAY_LOAN_KEY
CM_OPENENDLOAN_HIST|NULL|False|OPEN_END_LOAN_KEY
CM_PRESENTMENTREQUESTACHHISTORYXREF_HIST|NULL|False|ACH_HISTORY_KEY
CM_TRANSCODE_HIST|NULL|False|TRANS_CODE_KEY
CM_RBCEFUNDBATCHDETAIL_HIST|NULL|False|RBC_EFUND_BATCH_DETAIL_KEY
CM_RISREPT_HIST|NULL|False|RISREPT_KEY
CM_SPAYLOAN_HIST|NULL|False|SPAY_LOAN_KEY
CM_TRANSDETAILACCT_HIST|NULL|False|TRANS_DETAIL_ACCT_KEY
