table_name|sql|has_date_entered|key_column
CREO_APPROVALREQUEST_HIST|NULL|True|APPROVAL_REQUEST_KEY
CREO_APPROVALREQUESTITEM_HIST|NULL|False|APPROVAL_REQUEST_ITEM_KEY
CREO_CAMPAIGN_HIST|NULL|True|CAMPAIGN_KEY
CREO_CAMPAIGNTYPE_HIST|NULL|False|CAMPAIGN_TYPE_KEY
CREO_COMMUNICATION_HIST|NULL|True|COMMUNICATION_KEY
CREO_COMMUNICATIONMAILING_HIST|NULL|False|COMMUNICATION_MAILING_KEY
CREO_CONFIG_HIST|NULL|False|CONFIG_KEY
CREO_CONFIGHISTORY_HIST|NULL|True|CONFIG_HISTORY_KEY
CREO_CONTACT_HIST|NULL|True|CONTACT_KEY
CREO_CONTACTTYPE_HIST|NULL|False|CONTACT_TYPE_KEY
CREO_CONTAINER_HIST|NULL|True|CONTAINER_KEY
CREO_DATASET_HIST|NULL|True|DATASET_KEY
CREO_DATASETCELL_HIST|NULL|False|NULL
CREO_DATASETCOLUMN_HIST|NULL|False|DATASET_COLUMN_KEY
CREO_DATASETROW_HIST|NULL|False|DATASET_ROW_KEY
CREO_DATASETVALUE_HIST|NULL|False|DATASET_VALUE_KEY
CREO_DATASOURCE_HIST|NULL|False|DATASOURCE_KEY
CREO_DEADMESSAGES_HIST|NULL|True|NULL
CREO_DEADMESSAGES2_HIST|NULL|True|NULL
CREO_DELIVERYSTATUS_HIST|NULL|False|DELIVERY_STATUS_KEY
CREO_EMOJI_HIST|NULL|False|EMOJI_KEY
CREO_FOLDER_HIST|NULL|False|FOLDER_KEY
CREO_FOLDERCONTACT_HIST|NULL|False|NULL
CREO_FOLDERMESSAGE_HIST|NULL|False|NULL
CREO_GLOBAL_HIST|NULL|False|NULL
CREO_LOG_HIST|NULL|True|LOG_KEY
CREO_MESSAGE_HIST|NULL|True|MESSAGE_KEY
CREO_MESSAGECONTACT_HIST|NULL|False|MESSAGE_CONTACT_KEY
CREO_MESSAGECONTACTTYPE_HIST|NULL|False|MESSAGE_CONTACT_TYPE_KEY
CREO_MESSAGECONTACTV2_HIST|NULL|False|NULL
CREO_MESSAGEDELIVERYSTATUS_HIST|NULL|True|MESSAGE_DELIVERY_STATUS_KEY
CREO_MESSAGEPART_HIST|NULL|False|MESSAGE_PART_KEY
CREO_MESSAGEPARTV2_HIST|NULL|False|NULL
CREO_MESSAGESTATUSQUEUE_HIST|NULL|True|MESSAGE_STATUS_QUEUE_KEY
CREO_MESSAGETYPE_HIST|NULL|False|MESSAGE_TYPE_KEY
CREO_PACKAGE_HIST|NULL|True|PACKAGE_KEY
CREO_PACKAGETEMPLATE_HIST|NULL|False|NULL
CREO_PARAMETER_HIST|NULL|False|PARAMETER_KEY
CREO_RULE_HIST|NULL|True|RULE_KEY
CREO_TEMPLATE_HIST|NULL|True|TEMPLATE_KEY
CREO_TEMPLATERULE_HIST|NULL|False|NULL
CREO_TEMPLATETYPE_HIST|NULL|False|TEMPLATE_TYPE_KEY
CREO_TEMPMESSAGE_HIST|NULL|False|TEMP_MESSAGE_KEY
CREO_USER_HIST|NULL|True|USER_KEY
CREO_WEBHOOK_HIST|NULL|True|NULL
