__CardsToDelete,"CreditCard_Key INT NOT NULL "
__RefactorLog,"OperationKey VARCHAR(36) NOT NULL "
_AARCC,"PAYMENT_AMT NUMBER(10,4) NOT NULL ,LOAN_KEY INT NOT NULL ,LOCATION smallint NOT NULL ,BANK_ROUTING_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",BANK_ACCOUNT_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",FIRSTNAME VARCHAR(8000) NULL COLLATE ""en-ci"",LASTNAME VARCHAR(8000) NULL COLLATE ""en-ci"",CUSTOMER_KEY INT NOT NULL ,RISREPT_KEY INT NOT NULL ,REJECTED BOOLEAN NULL ,PROCESSED BOOLEAN NULL "
_ACHBankFor2104PostScript,"ACH_BANK_KEY INT NOT NULL ,NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",IS_INTERNET BOOLEAN NOT NULL ,IS_ADASTRA BOOLEAN NOT NULL ,DEBIT_OR_CREDIT VARCHAR(8000) NOT NULL COLLATE ""en-ci"",IS_ACTIVE BOOLEAN NOT NULL "
_achHistoryPresentmentXrefForConvert,"ACH_HISTORY_KEY INT NOT NULL ,ACH_PRESENTMENT_KEY INT NULL "
_achHistoryTransDetailVerify,"ACH_HISTORY_KEY INT NOT NULL ,TRANS_DETAIL_KEY INT NULL "
_achPendingConvert1905,"ACH_PENDING_KEY INT NOT NULL ,ACH_PRESENTMENT_KEY INT NOT NULL "
_AchPresentment1904Convert,"ACH_PRESENTMENT_KEY INT NOT NULL ,REFERENCE_KEY INT NULL ,AMT NUMBER(19,4) NOT NULL ,COLLECTION_PAYMENT_NUMBER INT NOT NULL ,FEE_PAYMENT_NUMBER INT NOT NULL ,STATEMENT_ID VARCHAR(8000) NOT NULL COLLATE ""en-ci"",SCHEDULED_PAYMENT_NUMBER INT NOT NULL "
_achProcessingQueueConvert1905,"ACH_PROCESSING_QUEUE_KEY INT NOT NULL ,ACH_PRESENTMENT_KEY INT NULL "
_achRequestConvert1905,"ACH_REQUEST_KEY INT NOT NULL ,ACH_PRESENTMENT_KEY INT NOT NULL "
_AchUniquePresentment1904Convert,"ACH_PRESENTMENT_KEY INT NULL ,LOAN_KEY INT NULL ,SCHEDULED_PAYMENT_NUMBER INT NULL ,ACH_PRESENTMENT_TYPE_KEY INT NOT NULL "
