TABLE_NAME,SQL,KEY_COLUMN,KEYS,TABLE_FILTERED_BY
CREO_MESSAGEPARTV2_HIST,,MESSAGE_PART_KEY,"{'MESSAGE_PART_KEY', 'MESSAGE_KEY'}",
CREO_TEMPLATE_HIST,,TEMPLATE_KEY,"{'TEMPLATE_KEY', 'BASE_TEMPLATE_KEY'}",DATE_ENTERED
CREO_RULE_HIST,,RULE_KEY,"{'CONTAINER_KEY', 'RULE_KEY'}",DATE_ENTERED
CREO_MESSAGETYPE_HIST,,MESSAGE_TYPE_KEY,{'MESSAGE_TYPE_KEY'},
CREO_TEMPLATERULE_HIST,,RULE_KEY,"{'TEMPLATE_KEY', 'RULE_KEY'}",
CREO_CAMPAIGN_HIST,,CAMPAIGN_KEY,"{'CONTAINER_KEY', 'CAMPAIGN_TYPE_KEY', 'CAMPAIGN_KEY', 'SEED_LIST_DATASET_KEY', 'DATASET_KEY'}",DATE_ENTERED
CREO_DATASOURCE_HIST,,DATASOURCE_KEY,{'DATASOURCE_KEY'},
CREO_COMMUNICATIONMAILING_HIST,,COMMUNICATION_MAILING_KEY,"{'COMMUNICATION_MAILING_KEY', 'COMMUNICATION_KEY'}",DATE_COMPLETED
CREO_PACKAGETEMPLATE_HIST,,PACKAGE_KEY,"{'PACKAGE_KEY', 'TEMPLATE_KEY'}",
CREO_LOG_HIST,,LOG_KEY,"{'CONTAINER_KEY', 'PACKAGE_KEY', 'TEMPLATE_KEY', 'CAMPAIGN_KEY', 'COMMUNICATION_KEY', 'MESSAGE_KEY', 'LOG_KEY', 'RULE_KEY'}",DATE_ENTERED
CREO_CONTACTTYPE_HIST,,CONTACT_TYPE_KEY,{'CONTACT_TYPE_KEY'},
CREO_FOLDERMESSAGE_HIST,,FOLDER_KEY,"{'MESSAGE_KEY', 'FOLDER_KEY'}",
CREO_DEADMESSAGES_HIST,,,"{'CONTAINER_KEY', 'TEMPLATE_KEY', 'SEND_AFTER_MESSAGE_KEY', 'DELIVERY_STATUS_KEY', 'IN_REPLY_TO_MESSAGE_KEY', 'COMMUNICATION_MAILING_KEY', 'MESSAGE_KEY', 'DATASET_ROW_KEY'}",DATE_ENTERED
CREO_GLOBAL_HIST,,,,
CREO_APPROVALREQUESTITEM_HIST,,APPROVAL_REQUEST_ITEM_KEY,"{'TEMPLATE_KEY', 'APPROVAL_REQUEST_KEY', 'APPROVAL_REQUEST_ITEM_KEY'}",
CREO_MESSAGESTATUSQUEUE_HIST,,MESSAGE_STATUS_QUEUE_KEY,"{'MESSAGE_STATUS_QUEUE_KEY', 'CONTAINER_KEY'}",ENTERED_AT
CREO_MESSAGEPART_HIST,,MESSAGE_PART_KEY,"{'MESSAGE_PART_KEY', 'MESSAGE_KEY'}",
CREO_DEADMESSAGES2_HIST,,,"{'CONTAINER_KEY', 'TEMPLATE_KEY', 'SEND_AFTER_MESSAGE_KEY', 'DELIVERY_STATUS_KEY', 'IN_REPLY_TO_MESSAGE_KEY', 'COMMUNICATION_MAILING_KEY', 'MESSAGE_KEY', 'DATASET_ROW_KEY'}",DATE_ENTERED
CREO_MESSAGECONTACTTYPE_HIST,,MESSAGE_CONTACT_TYPE_KEY,{'MESSAGE_CONTACT_TYPE_KEY'},
CREO_CONFIGHISTORY_HIST,,CONFIG_HISTORY_KEY,"{'CONFIG_HISTORY_KEY', 'CONFIG_KEY'}",DATE_ENTERED
CREO_DATASET_HIST,,DATASET_KEY,"{'CONTAINER_KEY', 'DATASET_KEY'}",DATE_ENTERED
CREO_CONFIG_HIST,,CONFIG_KEY,{'CONFIG_KEY'},
CREO_DATASETCOLUMN_HIST,,DATASET_COLUMN_KEY,{'DATASET_COLUMN_KEY'},
CREO_DATASETROW_HIST,,DATASET_ROW_KEY,"{'DATASET_ROW_KEY', 'DATASET_KEY'}",
CREO_DELIVERYSTATUS_HIST,,DELIVERY_STATUS_KEY,{'DELIVERY_STATUS_KEY'},
CREO_COMMUNICATION_HIST,,COMMUNICATION_KEY,"{'CAMPAIGN_KEY', 'COMMUNICATION_KEY'}",DATE_ENTERED
CREO_FOLDER_HIST,,FOLDER_KEY,"{'CONTAINER_KEY', 'PARENT_FOLDER_KEY', 'FOLDER_KEY'}",
CREO_PARAMETER_HIST,,PARAMETER_KEY,"{'PARAMETER_KEY', 'DATASOURCE_KEY'}",
CREO_TEMPLATETYPE_HIST,,TEMPLATE_TYPE_KEY,{'TEMPLATE_TYPE_KEY'},
