TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLLATION,NULLABLE,DEFINITION
Log,"""LOG_KEY""","""BIGINT""","""""","""NOT NULL""",LOG_KEY BIGINT  NOT NULL
Log,"""ACTION""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",ACTION VARCHAR(8000) COLLATE en-ci NULL
Log,"""DESCRIPTION""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",DESCRIPTION VARCHAR(8000) COLLATE en-ci NULL
Log,"""IP_ADDRESS""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",IP_ADDRESS VARCHAR(8000) COLLATE en-ci NULL
Log,"""USERNAME""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",USERNAME VARCHAR(8000) COLLATE en-ci NULL
Log,"""RULE_KEY""","""INT""","""""","""NULL""",RULE_KEY INT  NULL
Log,"""TEMPLATE_KEY""","""INT""","""""","""NULL""",TEMPLATE_KEY INT  NULL
Log,"""PACKAGE_KEY""","""INT""","""""","""NULL""",PACKAGE_KEY INT  NULL
Log,"""CONTAINER_KEY""","""INT""","""""","""NULL""",CONTAINER_KEY INT  NULL
Log,"""MESSAGE_KEY""","""BIGINT""","""""","""NULL""",MESSAGE_KEY BIGINT  NULL
Log,"""CAMPAIGN_KEY""","""INT""","""""","""NULL""",CAMPAIGN_KEY INT  NULL
Log,"""COMMUNICATION_KEY""","""INT""","""""","""NULL""",COMMUNICATION_KEY INT  NULL
Log,"""DATE_ENTERED""","""TIMESTAMP_LTZ""","""""","""NOT NULL""",DATE_ENTERED TIMESTAMP_LTZ  NOT NULL
Log,"""SERVER""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",SERVER VARCHAR(8000) COLLATE en-ci NULL
Package,"""PACKAGE_KEY""","""INT""","""""","""NOT NULL""",PACKAGE_KEY INT  NOT NULL
Package,"""CONTAINER_KEY""","""INT""","""""","""NOT NULL""",CONTAINER_KEY INT  NOT NULL
Package,"""DATE_PUBLISHED""","""TIMESTAMP_LTZ""","""""","""NULL""",DATE_PUBLISHED TIMESTAMP_LTZ  NULL
Package,"""DATE_ENTERED""","""TIMESTAMP_LTZ""","""""","""NOT NULL""",DATE_ENTERED TIMESTAMP_LTZ  NOT NULL
Package,"""HASH""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",HASH VARCHAR(8000) COLLATE en-ci NULL
Package,"""COMMIT_MESSAGE""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",COMMIT_MESSAGE VARCHAR(8000) COLLATE en-ci NULL
Package,"""PUBLISHED_BY""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",PUBLISHED_BY VARCHAR(8000) COLLATE en-ci NULL
Rule,"""RULE_KEY""","""INT""","""""","""NOT NULL""",RULE_KEY INT  NOT NULL
Rule,"""NAME""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",NAME VARCHAR(8000) COLLATE en-ci NOT NULL
Rule,"""PARAMETER_NAME""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",PARAMETER_NAME VARCHAR(8000) COLLATE en-ci NULL
Rule,"""TYPE""","""INT""","""""","""NOT NULL""",TYPE INT  NOT NULL
Rule,"""DATE_START""","""TIMESTAMP_LTZ""","""""","""NULL""",DATE_START TIMESTAMP_LTZ  NULL
Rule,"""DATE_END""","""TIMESTAMP_LTZ""","""""","""NULL""",DATE_END TIMESTAMP_LTZ  NULL
Rule,"""ENABLED""","""BOOLEAN""","""""","""NOT NULL""",ENABLED BOOLEAN  NOT NULL
Rule,"""IS_DELETED""","""BOOLEAN""","""""","""NOT NULL""",IS_DELETED BOOLEAN  NOT NULL
Rule,"""DATE_ENTERED""","""TIMESTAMP_LTZ""","""""","""NOT NULL""",DATE_ENTERED TIMESTAMP_LTZ  NOT NULL
Rule,"""DEFINITION""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",DEFINITION VARCHAR(8000) COLLATE en-ci NULL
