table_name|sql|key_column|keys|table_filtered_by
CREO_APPROVALREQUEST_HIST|NULL|APPROVAL_REQUEST_KEY|{'APPROVAL_REQUEST_KEY', 'PACKAGE_KEY'}|ENTERED_AT
CREO_APPROVALREQUESTITEM_HIST|NULL|APPROVAL_REQUEST_ITEM_KEY|{'APPROVAL_REQUEST_KEY', 'APPROVAL_REQUEST_ITEM_KEY', 'TEMPLATE_KEY'}|NULL
CREO_CAMPAIGN_HIST|NULL|CAMPAIGN_KEY|{'CAMPAIGN_TYPE_KEY', 'CONTAINER_KEY', 'SEED_LIST_DATASET_KEY', 'CAMPAIGN_KEY', 'DATASET_KEY'}|DATE_ENTERED
CREO_CAMPAIGNTYPE_HIST|NULL|CAMPAIGN_TYPE_KEY|{'CAMPAIGN_TYPE_KEY'}|NULL
CREO_COMMUNICATION_HIST|NULL|COMMUNICATION_KEY|{'CAMPAIGN_KEY', 'COMMUNICATION_KEY'}|DATE_ENTERED
CREO_COMMUNICATIONMAILING_HIST|NULL|COMMUNICATION_MAILING_KEY|{'COMMUNICATION_KEY', 'COMMUNICATION_MAILING_KEY'}|DATE_COMPLETED
CREO_CONFIG_HIST|NULL|CONFIG_KEY|{'CONFIG_KEY'}|NULL
CREO_CONFIGHISTORY_HIST|NULL|CONFIG_HISTORY_KEY|{'CONFIG_KEY', 'CONFIG_HISTORY_KEY'}|DATE_ENTERED
CREO_CONTACT_HIST|NULL|CONTACT_KEY|{'CONTACT_KEY'}|DATE_ENTERED
CREO_CONTACTTYPE_HIST|NULL|CONTACT_TYPE_KEY|{'CONTACT_TYPE_KEY'}|NULL
CREO_CONTAINER_HIST|NULL|CONTAINER_KEY|{'CONTAINER_KEY'}|DATE_ENTERED
CREO_DATASET_HIST|NULL|DATASET_KEY|{'CONTAINER_KEY', 'DATASET_KEY'}|DATE_ENTERED
CREO_DATASETCELL_HIST|NULL|DATASET_ROW_KEY|{'DATASET_VALUE_KEY', 'DATASET_COLUMN_KEY', 'DATASET_ROW_KEY'}|NULL
CREO_DATASETCOLUMN_HIST|NULL|DATASET_COLUMN_KEY|{'DATASET_COLUMN_KEY'}|NULL
CREO_DATASETROW_HIST|NULL|DATASET_ROW_KEY|{'DATASET_KEY', 'DATASET_ROW_KEY'}|NULL
CREO_DATASETVALUE_HIST|NULL|DATASET_VALUE_KEY|{'DATASET_VALUE_KEY'}|NULL
CREO_DATASOURCE_HIST|NULL|DATASOURCE_KEY|{'DATASOURCE_KEY'}|NULL
CREO_DEADMESSAGES_HIST|NULL|MESSAGE_KEY|{'DELIVERY_STATUS_KEY', 'CONTAINER_KEY', 'SEND_AFTER_MESSAGE_KEY', 'COMMUNICATION_MAILING_KEY', 'IN_REPLY_TO_MESSAGE_KEY', 'TEMPLATE_KEY', 'DATASET_ROW_KEY', 'MESSAGE_KEY'}|DATE_ENTERED
